sa3,LFSP Labour Force Status,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Not applicable
,100 years and over,0,0,0,0,0,6,0,0
21003,0-4 years,0,0,0,0,0,0,0,5580
,5-9 years,0,0,0,0,0,0,0,4661
,10-14 years,0,0,0,0,0,0,0,3810
,15-19 years,150,828,66,93,295,2123,185,0
,20-24 years,1283,1630,178,227,271,1094,297,0
,25-29 years,3213,1296,275,294,152,1117,428,0
,30-34 years,3665,1263,361,224,99,1269,482,0
,35-39 years,2948,1212,247,177,84,1074,405,0
,40-44 years,2455,1113,187,138,80,859,308,0
,45-49 years,2218,954,138,124,65,880,274,0
,50-54 years,1937,803,116,109,67,922,237,0
,55-59 years,1421,619,120,78,48,1051,207,0
,60-64 years,760,418,79,43,46,1285,200,0
,65-69 years,221,222,28,4,13,1854,202,0
,70-74 years,42,65,18,0,4,1853,174,0
,75-79 years,9,39,13,0,0,2187,196,0
,80-84 years,4,11,7,0,0,2088,199,0
,85-89 years,4,5,5,0,0,1546,156,0
,90-94 years,0,0,7,0,0,694,53,0
,95-99 years,0,0,0,0,0,122,8,0
,100 years and over,0,0,0,0,0,18,0,0
21004,0-4 years,0,0,0,0,0,0,0,2637
,5-9 years,0,0,0,0,0,0,0,2596
,10-14 years,0,0,0,0,0,0,0,2517
,15-19 years,213,852,54,91,217,1138,101,0
,20-24 years,1091,789,105,142,81,349,131,0
,25-29 years,1487,433,132,83,41,318,113,0
,30-34 years,1336,510,133,53,26,339,131,0
,35-39 years,1258,598,83,56,41,364,120,0
,40-44 years,1456,631,86,64,35,365,146,0
,45-49 years,1597,674,78,57,24,333,120,0
,50-54 years,1519,585,97,66,30,391,118,0
,55-59 years,1235,561,88,47,40,529,141,0
,60-64 years,690,447,70,42,29,870,125,0
,65-69 years,208,220,22,0,8,1281,118,0
,70-74 years,49,79,12,4,3,1014,90,0
,75-79 years,7,18,0,0,0,780,62,0
,80-84 years,4,9,3,0,3,550,59,0
,85-89 years,4,0,4,0,0,393,41,0
,90-94 years,0,0,0,0,0,124,13,0
,95-99 years,3,0,0,0,0,31,4,0
,100 years and over,0,0,0,0,0,0,0,0
21005,0-4 years,0,0,0,0,0,0,0,13073
,5-9 years,0,0,0,0,0,0,0,12290
,10-14 years,0,0,0,0,0,0,0,11222
,15-19 years,487,2282,203,284,883,6780,564,0
,20-24 years,3247,3266,487,704,519,3131,704,0
,25-29 years,5510,2235,580,642,249,3073,828,0
,30-34 years,5707,2223,556,455,204,3343,763,0
,35-39 years,5000,2038,449,399,206,3015,665,0
,40-44 years,4480,1990,299,374,183,2666,545,0
,45-49 years,4536,1885,319,325,184,2940,617,0
,50-54 years,4287,1713,287,268,119,2915,591,0
,55-59 years,3028,1329,229,202,116,2972,488,0
,60-64 years,1631,914,157,114,77,3486,436,0
,65-69 years,487,449,82,11,16,4209,384,0
,70-74 years,92,150,25,3,10,3411,305,0
,75-79 years,20,31,14,0,3,2416,237,0
,80-84 years,10,8,6,0,0,1579,178,0
,85-89 years,0,4,0,0,0,805,107,0
,90-94 years,0,0,0,0,0,265,24,0
,95-99 years,0,5,0,0,0,50,6,0
,100 years and over,0,0,0,0,0,6,0,0
21101,0-4 years,0,0,0,0,0,0,0,9013
,5-9 years,0,0,0,0,0,0,0,9067
,10-14 years,0,0,0,0,0,0,0,8988
,15-19 years,584,3131,232,140,773,4773,273,0
,20-24 years,3719,3378,317,425,345,1695,313,0
,25-29 years,5776,1752,397,288,136,1177,404,0
,30-34 years,5711,1887,548,250,142,1454,412,0
,35-39 years,5337,2289,402,210,147,1510,394,0
,40-44 years,5457,2566,304,215,156,1404,372,0
,45-49 years,5987,2564,280,231,147,1454,379,0
,50-54 years,6061,2407,299,232,119,1535,385,0
,55-59 years,5095,2276,322,191,116,2133,360,0
,60-64 years,3010,2003,283,151,104,3468,389,0
,65-69 years,925,1083,150,23,33,5502,348,0
,70-74 years,178,361,39,0,3,4742,278,0
,75-79 years,43,106,20,0,4,3807,254,0
,80-84 years,8,23,16,0,0,2586,258,0
,85-89 years,4,5,3,0,0,1702,202,0
,90-94 years,0,8,4,0,0,793,110,0
,95-99 years,4,0,0,0,0,200,40,0
,100 years and over,0,0,0,0,0,18,5,0
21102,0-4 years,0,0,0,0,0,0,0,1130
,5-9 years,0,0,0,0,0,0,0,1592
,10-14 years,0,0,0,0,0,0,0,1990
,15-19 years,85,676,40,17,187,1005,59,0
,20-24 years,515,686,53,35,63,278,49,0
,25-29 years,622,208,44,23,12,121,38,0
,30-34 years,534,182,61,8,11,128,43,0
,35-39 years,593,306,48,19,11,191,52,0
,40-44 years,908,455,49,19,13,221,53,0
,45-49 years,1206,604,59,25,25,285,81,0
,50-54 years,1125,495,59,33,18,260,86,0
,55-59 years,930,464,52,31,17,392,87,0
,60-64 years,533,397,44,16,8,529,65,0
,65-69 years,214,247,26,6,3,906,53,0
,70-74 years,83,114,17,0,5,842,60,0
,75-79 years,18,67,7,0,0,657,52,0
,80-84 years,3,10,3,0,0,496,41,0
,85-89 years,5,5,6,0,0,349,26,0
,90-94 years,0,0,0,0,0,178,31,0
,95-99 years,0,0,0,0,0,62,6,0
,100 years and over,0,0,0,0,0,9,0,0
21103,0-4 years,0,0,0,0,0,0,0,7306
,5-9 years,0,0,0,0,0,0,0,6854
,10-14 years,0,0,0,0,0,0,0,6355
,15-19 years,394,2272,136,103,519,3015,212,0
,20-24 years,2451,2280,233,241,205,971,219,0
,25-29 years,4088,1170,290,226,100,906,304,0
,30-34 years,4459,1596,429,181,81,1074,328,0
,35-39 years,4051,1725,315,149,96,1080,298,0
,40-44 years,4110,1900,220,171,117,1010,292,0
,45-49 years,4138,1884,199,137,82,954,276,0
,50-54 years,3945,1708,222,169,71,1001,305,0
,55-59 years,3206,1471,217,108,72,1338,278,0
,60-64 years,1870,1349,181,80,57,2218,222,0
,65-69 years,632,757,90,19,18,3610,229,0
,70-74 years,143,317,46,3,8,3529,226,0
,75-79 years,28,96,25,0,0,2665,195,0
,80-84 years,0,34,3,7,3,2130,204,0
,85-89 years,6,9,4,0,0,1415,200,0
,90-94 years,0,0,0,0,0,647,135,0
,95-99 years,4,0,0,0,0,169,29,0
,100 years and over,3,0,0,0,0,14,4,0
21104,0-4 years,0,0,0,0,0,0,0,3612
,5-9 years,0,0,0,0,0,0,0,3777
,10-14 years,0,0,0,0,0,0,0,3556
,15-19 years,118,1109,72,43,311,1756,69,0
,20-24 years,932,1315,113,106,182,697,139,0
,25-29 years,2006,733,134,109,61,502,153,0
,30-34 years,2357,795,196,114,53,621,165,0
,35-39 years,2351,967,173,81,58,579,142,0
,40-44 years,2398,1075,110,93,75,660,142,0
,45-49 years,2275,1069,106,111,63,550,143,0
,50-54 years,1953,847,100,84,40,594,112,0
,55-59 years,1581,754,91,69,40,791,114,0
,60-64 years,908,702,80,40,43,1323,101,0
,65-69 years,352,463,55,10,10,2159,98,0
,70-74 years,87,220,24,5,7,2235,119,0
,75-79 years,19,80,16,0,3,1978,119,0
,80-84 years,3,16,6,0,5,1395,124,0
,85-89 years,0,3,7,0,0,951,121,0
,90-94 years,0,0,0,0,0,406,69,0
,95-99 years,0,0,0,0,0,98,26,0
,100 years and over,0,0,0,0,0,12,7,0
21105,0-4 years,0,0,0,0,0,0,0,9105
,5-9 years,0,0,0,0,0,0,0,9709
,10-14 years,0,0,0,0,0,0,0,9493
,15-19 years,891,3023,248,177,646,4357,351,0
,20-24 years,3689,2709,305,349,240,1185,396,0
,25-29 years,5020,1519,408,211,98,1105,410,0
,30-34 years,4599,1938,521,132,101,1349,415,0
,35-39 years,4548,2308,417,142,100,1290,408,0
,40-44 years,5253,2671,354,176,125,1391,471,0
,45-49 years,5741,2626,376,163,113,1334,501,0
,50-54 years,5444,2608,426,159,94,1481,508,0
,55-59 years,4618,2582,432,159,76,2013,528,0
,60-64 years,2735,2152,338,105,86,3396,396,0
,65-69 years,1000,1211,185,19,36,5440,477,0
,70-74 years,249,460,68,6,11,4820,375,0
,75-79 years,68,156,37,5,4,3313,291,0
,80-84 years,22,37,11,0,0,2162,211,0
,85-89 years,6,15,0,0,0,1451,186,0
,90-94 years,6,0,0,0,0,598,80,0
,95-99 years,4,0,0,0,0,141,19,0
,100 years and over,0,0,0,0,0,18,0,0
21201,0-4 years,0,0,0,0,0,0,0,7828
,5-9 years,0,0,0,0,0,0,0,7282
,10-14 years,0,0,0,0,0,0,0,6641
,15-19 years,610,1753,156,172,432,2814,305,0
,20-24 years,2506,1605,217,248,157,866,338,0
,25-29 years,3513,1151,330,171,112,906,328,0
,30-34 years,3623,1501,365,135,93,1101,375,0
,35-39 years,3336,1463,247,117,88,977,332,0
,40-44 years,3456,1560,198,124,87,866,381,0
,45-49 years,3598,1463,216,107,65,784,378,0
,50-54 years,3113,1247,212,118,51,820,339,0
,55-59 years,2359,1086,207,112,47,1126,346,0
,60-64 years,1293,940,132,61,60,1614,272,0
,65-69 years,448,501,67,11,14,2695,262,0
,70-74 years,150,181,29,3,5,2343,214,0
,75-79 years,43,74,14,0,0,1624,178,0
,80-84 years,20,25,10,0,0,1032,124,0
,85-89 years,0,11,6,0,0,667,103,0
,90-94 years,3,0,3,0,0,265,30,0
,95-99 years,6,5,0,0,0,62,10,0
,100 years and over,0,0,0,0,0,8,0,0
21202,0-4 years,0,0,0,0,0,0,0,8788
,5-9 years,0,0,0,0,0,0,0,9161
,10-14 years,0,0,0,0,0,0,0,8789
,15-19 years,530,2515,186,185,775,4970,348,0
,20-24 years,3070,2823,316,465,411,1730,431,0
,25-29 years,4243,1375,328,320,148,1447,403,0
,30-34 years,4362,1663,432,284,129,1679,430,0
,35-39 years,4399,1834,324,251,152,1633,320,0
,40-44 years,4689,2056,276,237,126,1548,374,0
,45-49 years,4957,2022,253,215,124,1544,373,0
,50-54 years,4744,1768,271,229,100,1582,405,0
,55-59 years,3716,1566,244,174,107,2089,338,0
,60-64 years,2125,1262,203,122,75,2800,273,0
,65-69 years,625,568,93,21,32,3903,317,0
,70-74 years,135,203,43,0,9,3249,204,0
,75-79 years,28,61,13,0,3,2636,201,0
,80-84 years,7,20,9,0,0,1874,174,0
,85-89 years,8,9,5,0,0,1195,121,0
,90-94 years,0,0,0,0,0,508,52,0
,95-99 years,0,0,0,0,0,125,10,0
,100 years and over,0,0,0,0,0,11,3,0
21203,0-4 years,0,0,0,0,0,0,0,14986
,5-9 years,0,0,0,0,0,0,0,14143
,10-14 years,0,0,0,0,0,0,0,11984
,15-19 years,739,2880,194,289,983,5840,505,0
,20-24 years,4082,3006,439,616,473,2193,616,0
,25-29 years,6123,2132,566,441,189,2057,679,0
,30-34 years,7450,2812,722,401,209,2629,777,0
,35-39 years,7253,2768,469,356,189,2203,734,0
,40-44 years,6652,2594,374,339,198,1883,641,0
,45-49 years,6078,2289,301,257,134,1732,581,0
,50-54 years,5155,1704,325,226,118,1721,529,0
,55-59 years,3714,1524,255,183,114,2178,489,0
,60-64 years,2079,1032,211,100,74,2637,415,0
,65-69 years,554,508,79,20,23,3704,350,0
,70-74 years,101,181,26,3,10,3056,280,0
,75-79 years,25,72,12,0,0,2048,225,0
,80-84 years,8,23,0,0,0,1339,157,0
,85-89 years,11,0,3,0,0,782,125,0
,90-94 years,0,0,0,0,0,313,65,0
,95-99 years,8,6,0,0,0,74,12,0
,100 years and over,3,0,0,0,0,9,3,0
21204,0-4 years,0,0,0,0,0,0,0,12401
,5-9 years,0,0,0,0,0,0,0,10734
,10-14 years,0,0,0,0,0,0,0,9830
,15-19 years,333,2223,178,196,875,6645,484,0
,20-24 years,3390,4396,469,767,752,4095,767,0
,25-29 years,6852,3089,578,736,370,3449,952,0
,30-34 years,7667,2794,642,644,273,3431,964,0
,35-39 years,6051,2370,483,521,221,2961,697,0
,40-44 years,5443,2233,330,437,198,2562,653,0
,45-49 years,5199,2067,348,420,191,2615,600,0
,50-54 years,4694,1819,312,380,181,2851,572,0
,55-59 years,3873,1658,277,292,161,3604,585,0
,60-64 years,2394,1369,233,210,131,4664,496,0
,65-69 years,848,732,116,23,47,6414,553,0
,70-74 years,179,272,41,5,19,5728,465,0
,75-79 years,32,79,24,0,3,4609,412,0
,80-84 years,12,26,9,0,0,3476,405,0
,85-89 years,5,6,4,0,0,2220,266,0
,90-94 years,0,5,0,0,0,869,120,0
,95-99 years,0,0,0,0,0,200,34,0
,100 years and over,0,0,0,0,0,26,7,0
21205,0-4 years,0,0,0,0,0,0,0,8810
,5-9 years,0,0,0,0,0,0,0,9500
,10-14 years,0,0,0,0,0,0,0,9271
,15-19 years,191,2615,225,85,1001,7438,426,0
,20-24 years,2609,4748,439,382,1215,7101,743,0
,25-29 years,6121,2665,399,496,394,2766,712,0
,30-34 years,6331,2195,585,399,222,1908,590,0
,35-39 years,5671,2193,367,257,207,1777,484,0
,40-44 years,5880,2521,279,295,205,1737,493,0
,45-49 years,6125,2522,290,270,191,1776,462,0
,50-54 years,5459,2084,260,263,155,1806,416,0
,55-59 years,4164,1872,235,218,99,2310,361,0
,60-64 years,2401,1666,202,125,103,3542,358,0
,65-69 years,887,1007,117,25,35,5455,341,0
,70-74 years,241,484,63,9,12,5679,348,0
,75-79 years,54,207,33,0,7,5406,377,0
,80-84 years,22,51,20,0,3,4214,344,0
,85-89 years,15,23,11,0,0,2764,341,0
,90-94 years,4,3,6,0,0,1225,209,0
,95-99 years,3,3,0,0,0,246,41,0
,100 years and over,0,0,0,0,0,26,9,0
21301,0-4 years,0,0,0,0,0,0,0,12521
,5-9 years,0,0,0,0,0,0,0,11246
,10-14 years,0,0,0,0,0,0,0,10650
,15-19 years,402,2446,211,274,972,6825,597,0
,20-24 years,3591,4519,524,800,774,3533,908,0
,25-29 years,6618,2921,640,746,377,3054,1015,0
,30-34 years,6740,2565,686,643,271,3236,985,0
,35-39 years,5794,2304,511,561,257,2745,782,0
,40-44 years,5474,2346,429,516,283,2548,699,0
,45-49 years,5359,2258,393,516,263,2629,706,0
,50-54 years,4942,2123,392,474,220,2775,665,0
,55-59 years,3967,1915,327,361,234,3661,689,0
,60-64 years,2342,1328,249,243,180,5025,582,0
,65-69 years,655,587,101,22,36,6499,625,0
,70-74 years,111,165,25,9,5,5121,468,0
,75-79 years,20,44,19,0,4,3818,381,0
,80-84 years,9,15,6,3,0,2678,327,0
,85-89 years,0,0,0,0,0,1528,251,0
,90-94 years,0,0,0,0,0,629,122,0
,95-99 years,9,0,0,0,0,106,32,0
,100 years and over,0,0,0,0,0,13,4,0
21302,0-4 years,0,0,0,0,0,0,0,5708
,5-9 years,0,0,0,0,0,0,0,5418
,10-14 years,0,0,0,0,0,0,0,4421
,15-19 years,172,1222,82,86,293,2373,175,0
,20-24 years,1467,1524,158,234,204,892,246,0
,25-29 years,3035,932,209,219,105,690,342,0
,30-34 years,3553,1005,333,172,77,873,361,0
,35-39 years,3399,1233,295,135,69,898,314,0
,40-44 years,3415,1385,206,162,87,875,333,0
,45-49 years,3344,1323,182,174,66,872,291,0
,50-54 years,3151,1139,173,161,68,877,310,0
,55-59 years,2477,1025,138,127,78,1299,297,0
,60-64 years,1258,751,132,89,59,1871,233,0
,65-69 years,378,363,57,3,13,2725,228,0
,70-74 years,76,164,32,0,6,2361,192,0
,75-79 years,23,45,4,0,3,2013,197,0
,80-84 years,10,14,3,0,0,1674,180,0
,85-89 years,4,3,3,0,0,1109,128,0
,90-94 years,0,0,0,0,0,454,56,0
,95-99 years,3,4,0,0,0,124,6,0
,100 years and over,0,0,0,0,0,7,0,0
21303,0-4 years,0,0,0,0,0,0,0,5674
,5-9 years,0,0,0,0,0,0,0,4301
,10-14 years,0,0,0,0,0,0,0,3214
,15-19 years,106,854,66,47,335,2008,218,0
,20-24 years,1543,2412,193,286,521,1782,514,0
,25-29 years,4528,2165,302,358,256,1302,660,0
,30-34 years,5148,1671,413,283,133,1157,641,0
,35-39 years,4013,1515,334,228,104,1005,535,0
,40-44 years,3368,1237,192,196,92,830,420,0
,45-49 years,2723,1058,135,205,92,819,370,0
,50-54 years,2190,828,127,177,72,823,299,0
,55-59 years,1603,751,108,142,80,1121,267,0
,60-64 years,834,477,61,88,56,1427,228,0
,65-69 years,233,223,30,4,20,1730,163,0
,70-74 years,58,59,19,0,3,1323,157,0
,75-79 years,18,28,8,0,0,1233,140,0
,80-84 years,4,5,0,0,0,1009,149,0
,85-89 years,3,4,0,0,0,743,138,0
,90-94 years,3,0,0,0,0,316,71,0
,95-99 years,5,0,0,0,0,76,15,0
,100 years and over,0,0,0,0,0,3,3,0
21304,0-4 years,0,0,0,0,0,0,0,12717
,5-9 years,0,0,0,0,0,0,0,13220
,10-14 years,0,0,0,0,0,0,0,11254
,15-19 years,715,2739,211,281,734,4981,456,0
,20-24 years,3314,2483,350,610,352,1950,566,0
,25-29 years,5289,1639,454,462,180,2047,624,0
,30-34 years,5985,2181,603,338,169,2392,696,0
,35-39 years,6347,2477,507,311,191,2398,670,0
,40-44 years,6461,2479,344,347,201,1962,645,0
,45-49 years,5491,2029,318,294,132,1787,573,0
,50-54 years,4293,1601,316,218,94,1678,524,0
,55-59 years,3185,1372,268,188,89,2085,411,0
,60-64 years,1905,1094,200,135,109,3044,438,0
,65-69 years,522,483,70,15,20,4267,394,0
,70-74 years,91,155,19,0,3,3115,267,0
,75-79 years,18,30,9,0,0,1941,207,0
,80-84 years,8,5,6,0,0,1231,127,0
,85-89 years,0,0,0,0,0,732,76,0
,90-94 years,0,0,0,0,0,293,28,0
,95-99 years,4,0,0,0,0,61,4,0
,100 years and over,0,0,0,0,0,6,0,0
21305,0-4 years,0,0,0,0,0,0,0,21735
,5-9 years,0,0,0,0,0,0,0,18646
,10-14 years,0,0,0,0,0,0,0,14239
,15-19 years,618,3169,236,340,1043,6998,589,0
,20-24 years,4051,4063,490,845,698,2939,755,0
,25-29 years,8173,3224,719,821,406,3713,1009,0
,30-34 years,12042,3958,1074,815,449,4417,1267,0
,35-39 years,11004,3622,773,630,340,3481,1013,0
,40-44 years,8749,2956,488,507,276,2603,815,0
,45-49 years,7507,2620,389,411,217,2151,695,0
,50-54 years,6059,2095,349,351,144,2290,645,0
,55-59 years,4395,1716,311,263,144,2740,541,0
,60-64 years,2362,1218,209,190,109,3708,486,0
,65-69 years,672,640,91,19,35,4701,453,0
,70-74 years,113,186,33,7,7,3514,310,0
,75-79 years,19,35,16,0,4,2466,257,0
,80-84 years,5,17,7,0,0,1529,188,0
,85-89 years,9,5,0,0,0,839,147,0
,90-94 years,0,0,4,0,0,313,86,0
,95-99 years,4,5,0,0,0,51,20,0
,100 years and over,5,0,0,0,0,4,3,0
21401,0-4 years,0,0,0,0,0,0,0,9014
,5-9 years,0,0,0,0,0,0,0,8329
,10-14 years,0,0,0,0,0,0,0,7687
,15-19 years,629,2528,185,211,592,3434,430,0
,20-24 years,3231,2392,305,431,259,1362,534,0
,25-29 years,4696,1523,392,306,143,1227,554,0
,30-34 years,4854,1903,495,216,119,1447,609,0
,35-39 years,4452,1969,370,212,125,1415,532,0
,40-44 years,4800,2096,290,253,145,1353,558,0
,45-49 years,4995,2066,281,223,116,1436,580,0
,50-54 years,4558,1915,281,234,115,1517,525,0
,55-59 years,3852,1799,301,221,108,1893,523,0
,60-64 years,2221,1455,238,149,104,2786,451,0
,65-69 years,669,861,121,13,43,4523,456,0
,70-74 years,156,294,45,7,16,4148,362,0
,75-79 years,44,76,11,0,4,3151,336,0
,80-84 years,10,20,6,0,0,2256,279,0
,85-89 years,4,6,5,0,0,1521,193,0
,90-94 years,3,3,5,0,0,598,137,0
,95-99 years,3,3,0,0,0,177,24,0
,100 years and over,0,0,0,0,0,20,0,0
21402,0-4 years,0,0,0,0,0,0,0,8005
,5-9 years,0,0,0,0,0,0,0,9598
,10-14 years,0,0,0,0,0,0,0,9228
,15-19 years,859,3000,264,171,544,3715,396,0
,20-24 years,3076,2257,278,270,150,985,396,0
,25-29 years,3388,1348,304,173,89,887,373,0
,30-34 years,3323,1557,373,127,84,1100,368,0
,35-39 years,3630,2012,336,135,112,1214,385,0
,40-44 years,4831,2704,309,206,111,1377,545,0
,45-49 years,5425,2795,346,193,122,1483,544,0
,50-54 years,5058,2510,324,187,103,1583,577,0
,55-59 years,4265,2594,419,187,119,2340,548,0
,60-64 years,2659,2368,374,152,136,4205,643,0
,65-69 years,1025,1596,232,19,53,7683,714,0
,70-74 years,304,707,109,10,38,7770,644,0
,75-79 years,76,252,36,3,6,6226,605,0
,80-84 years,25,64,15,0,4,4337,526,0
,85-89 years,7,21,9,0,0,2847,351,0
,90-94 years,0,7,3,0,0,1189,197,0
,95-99 years,9,5,0,0,0,324,54,0
,100 years and over,0,5,0,0,0,27,4,0
