sa3,MTWP Method of Travel to Work,CAR,BIKE,WALK,WFH,PT
20601,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,349,39,68,9,329
,20-24 years,1792,357,190,51,1901
,25-29 years,3343,767,283,166,3248
,30-34 years,3238,835,249,254,2760
,35-39 years,2650,707,174,309,1856
,40-44 years,2332,499,150,297,1233
,45-49 years,2385,368,126,211,941
,50-54 years,1955,261,114,195,701
,55-59 years,1563,157,101,140,472
,60-64 years,943,67,58,113,289
,65-69 years,377,26,24,65,128
,70-74 years,91,8,12,30,34
,75-79 years,26,0,3,7,10
,80-84 years,12,0,0,7,0
,85-89 years,4,0,0,0,5
,90-94 years,0,0,0,0,0
,95-99 years,0,3,0,0,0
,100 years and over,0,0,0,0,0
20602,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,194,54,64,7,177
,20-24 years,956,152,88,27,833
,25-29 years,1774,328,151,74,1504
,30-34 years,1860,360,123,166,1463
,35-39 years,1590,356,77,184,1059
,40-44 years,1645,341,75,207,870
,45-49 years,1655,279,87,219,768
,50-54 years,1351,229,75,148,519
,55-59 years,1077,124,50,117,383
,60-64 years,600,53,38,98,207
,65-69 years,255,4,11,43,63
,70-74 years,46,0,9,15,24
,75-79 years,25,0,9,3,9
,80-84 years,14,0,0,0,3
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,7
,95-99 years,0,0,0,0,4
,100 years and over,0,0,0,0,0
20603,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,562,26,120,17,224
,20-24 years,1597,62,137,36,1146
,25-29 years,2248,125,139,82,1676
,30-34 years,2345,151,132,114,1650
,35-39 years,1963,122,106,197,1058
,40-44 years,2233,136,81,185,775
,45-49 years,2470,114,68,213,655
,50-54 years,2113,80,70,151,593
,55-59 years,1790,63,82,148,421
,60-64 years,1100,26,50,154,252
,65-69 years,435,17,27,57,107
,70-74 years,131,0,6,18,16
,75-79 years,44,0,6,9,8
,80-84 years,16,0,0,3,0
,85-89 years,5,0,0,3,3
,90-94 years,0,0,0,0,0
,95-99 years,3,0,0,0,0
,100 years and over,0,0,0,0,0
20604,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,135,33,420,45,532
,20-24 years,1263,364,2424,168,3580
,25-29 years,3233,702,4669,288,6469
,30-34 years,2925,553,3782,396,4515
,35-39 years,1750,319,1940,301,2155
,40-44 years,1390,188,1064,275,1087
,45-49 years,1276,134,836,237,786
,50-54 years,1119,104,714,216,662
,55-59 years,963,62,580,190,481
,60-64 years,719,39,357,196,303
,65-69 years,402,15,182,155,159
,70-74 years,164,5,72,102,73
,75-79 years,64,4,31,41,20
,80-84 years,21,0,6,18,0
,85-89 years,3,0,5,8,3
,90-94 years,5,0,0,7,0
,95-99 years,7,0,0,0,3
,100 years and over,0,0,0,0,3
20605,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,188,56,143,10,223
,20-24 years,1528,125,448,65,1584
,25-29 years,4258,394,877,165,3488
,30-34 years,4818,529,848,349,3334
,35-39 years,3622,439,518,404,2194
,40-44 years,2974,365,421,470,1493
,45-49 years,2809,287,349,430,1214
,50-54 years,2275,171,305,385,887
,55-59 years,1884,152,273,309,745
,60-64 years,1172,55,147,278,471
,65-69 years,657,19,77,199,230
,70-74 years,264,6,25,114,89
,75-79 years,66,0,5,43,26
,80-84 years,12,0,0,15,9
,85-89 years,11,0,5,6,3
,90-94 years,3,0,0,0,4
,95-99 years,0,0,0,0,3
,100 years and over,0,0,0,0,0
20606,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,144,10,121,4,171
,20-24 years,1152,81,470,37,1494
,25-29 years,2882,306,882,136,3173
,30-34 years,2685,309,665,224,2560
,35-39 years,1604,153,363,205,1313
,40-44 years,1288,96,225,189,798
,45-49 years,1302,73,186,186,616
,50-54 years,1191,51,147,180,454
,55-59 years,1003,37,141,181,390
,60-64 years,765,30,103,171,255
,65-69 years,602,6,60,184,145
,70-74 years,292,9,22,85,61
,75-79 years,113,0,10,48,16
,80-84 years,43,0,4,14,3
,85-89 years,21,0,0,4,5
,90-94 years,3,0,0,3,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
20607,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,159,61,163,9,253
,20-24 years,1198,345,633,71,1779
,25-29 years,3865,1089,1420,224,4021
,30-34 years,3560,982,1327,344,3233
,35-39 years,2323,595,781,310,1731
,40-44 years,1755,482,529,282,1101
,45-49 years,1642,330,421,275,896
,50-54 years,1473,235,331,246,698
,55-59 years,1229,168,332,218,519
,60-64 years,786,92,218,200,333
,65-69 years,424,43,95,192,165
,70-74 years,157,8,34,99,64
,75-79 years,32,0,6,18,13
,80-84 years,10,0,3,8,4
,85-89 years,8,0,0,7,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
20701,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,1330,33,309,47,720
,20-24 years,4065,97,452,110,2474
,25-29 years,4924,168,403,166,3070
,30-34 years,4132,172,323,286,2468
,35-39 years,4099,200,235,453,1875
,40-44 years,5027,243,213,699,1752
,45-49 years,6245,228,220,765,1593
,50-54 years,6040,208,233,724,1418
,55-59 years,4741,142,229,633,1053
,60-64 years,3119,59,166,538,728
,65-69 years,1649,22,95,482,344
,70-74 years,687,0,52,271,122
,75-79 years,205,0,16,93,33
,80-84 years,68,0,3,31,9
,85-89 years,23,0,0,21,5
,90-94 years,7,0,0,5,0
,95-99 years,3,0,0,0,0
,100 years and over,0,0,0,0,0
20702,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,826,8,80,13,222
,20-24 years,2175,0,64,40,685
,25-29 years,2798,5,66,75,822
,30-34 years,2672,3,51,171,778
,35-39 years,2720,14,50,226,702
,40-44 years,3086,15,35,251,620
,45-49 years,3562,17,41,307,554
,50-54 years,3509,12,42,291,508
,55-59 years,2903,8,39,241,373
,60-64 years,1935,3,25,210,233
,65-69 years,1002,0,9,148,97
,70-74 years,443,0,5,80,36
,75-79 years,137,0,0,63,17
,80-84 years,42,0,0,13,0
,85-89 years,9,0,0,6,0
,90-94 years,0,0,0,0,0
,95-99 years,4,0,0,0,0
,100 years and over,0,0,0,0,0
20703,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,962,16,127,15,362
,20-24 years,2517,29,218,53,1231
,25-29 years,3030,17,236,80,1557
,30-34 years,2906,31,166,180,1390
,35-39 years,2677,49,94,279,1141
,40-44 years,3311,56,113,352,1017
,45-49 years,3841,47,102,318,891
,50-54 years,3274,42,113,262,766
,55-59 years,2789,50,113,238,551
,60-64 years,1615,23,58,188,350
,65-69 years,707,5,33,144,120
,70-74 years,270,7,21,75,27
,75-79 years,81,0,0,25,18
,80-84 years,12,0,5,17,4
,85-89 years,6,0,3,14,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
20801,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,854,64,204,23,252
,20-24 years,2036,31,143,43,709
,25-29 years,1871,42,75,71,726
,30-34 years,1911,52,57,156,771
,35-39 years,2379,74,51,297,889
,40-44 years,3479,118,65,523,1063
,45-49 years,4386,102,104,600,1068
,50-54 years,4034,101,124,501,809
,55-59 years,3331,85,90,468,677
,60-64 years,2136,30,59,380,357
,65-69 years,1261,9,47,279,168
,70-74 years,479,3,14,162,64
,75-79 years,153,0,10,65,11
,80-84 years,38,0,0,24,3
,85-89 years,11,0,3,11,0
,90-94 years,3,0,0,0,0
,95-99 years,0,0,0,0,4
,100 years and over,3,0,0,0,0
20802,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,1009,54,218,21,453
,20-24 years,3066,60,246,62,1569
,25-29 years,4657,89,223,173,2722
,30-34 years,5055,112,187,336,2854
,35-39 years,4643,122,140,450,2289
,40-44 years,5402,161,122,535,1912
,45-49 years,5634,161,157,603,1565
,50-54 years,4936,144,150,425,1162
,55-59 years,4204,90,135,417,890
,60-64 years,2805,46,102,336,544
,65-69 years,1415,12,52,272,237
,70-74 years,455,6,24,123,58
,75-79 years,131,4,5,34,18
,80-84 years,74,0,3,29,0
,85-89 years,18,0,0,9,0
,90-94 years,0,0,0,4,0
,95-99 years,5,0,0,0,0
,100 years and over,0,0,0,0,0
20803,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,1235,47,177,16,336
,20-24 years,3061,29,131,36,698
,25-29 years,3884,35,111,86,840
,30-34 years,4195,35,82,246,1026
,35-39 years,4495,60,67,360,1141
,40-44 years,5418,54,69,435,1069
,45-49 years,5577,78,92,411,867
,50-54 years,4725,55,77,348,690
,55-59 years,3896,52,89,236,519
,60-64 years,2560,17,47,227,311
,65-69 years,1030,8,31,135,134
,70-74 years,336,0,7,82,29
,75-79 years,94,0,11,30,3
,80-84 years,19,0,3,6,0
,85-89 years,7,0,0,7,3
,90-94 years,0,0,0,0,0
,95-99 years,5,0,0,0,0
,100 years and over,0,0,0,0,0
20804,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,236,5,96,13,138
,20-24 years,971,30,95,24,585
,25-29 years,1372,43,101,49,884
,30-34 years,1198,38,97,81,693
,35-39 years,1159,51,50,118,564
,40-44 years,1359,51,56,148,440
,45-49 years,1502,58,46,191,375
,50-54 years,1356,42,58,158,360
,55-59 years,1061,35,41,159,278
,60-64 years,700,23,30,141,176
,65-69 years,448,3,15,98,90
,70-74 years,161,0,9,56,28
,75-79 years,50,0,3,22,9
,80-84 years,23,0,0,5,0
,85-89 years,6,0,0,4,0
,90-94 years,6,0,0,0,0
,95-99 years,4,0,0,0,0
,100 years and over,0,0,0,0,0
20901,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,1199,23,182,18,333
,20-24 years,3111,31,221,30,974
,25-29 years,4005,50,167,83,1307
,30-34 years,3950,70,130,201,1383
,35-39 years,4062,111,107,351,1421
,40-44 years,4552,111,98,384,1277
,45-49 years,4581,84,114,352,976
,50-54 years,4357,74,116,280,842
,55-59 years,3959,59,109,261,672
,60-64 years,2626,24,73,257,451
,65-69 years,1185,11,35,169,183
,70-74 years,355,0,6,83,51
,75-79 years,101,0,4,31,15
,80-84 years,38,0,4,16,0
,85-89 years,11,0,0,3,0
,90-94 years,3,0,0,0,0
,95-99 years,4,0,0,0,0
,100 years and over,0,0,0,0,0
20902,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,634,22,71,10,334
,20-24 years,2216,52,118,36,1206
,25-29 years,3440,97,118,96,1685
,30-34 years,3493,150,105,165,1787
,35-39 years,3089,191,74,206,1215
,40-44 years,3074,169,59,202,935
,45-49 years,3130,122,64,183,755
,50-54 years,2534,64,70,117,546
,55-59 years,2016,52,53,100,429
,60-64 years,1178,15,31,77,241
,65-69 years,436,0,3,32,74
,70-74 years,118,6,14,10,24
,75-79 years,31,0,0,0,3
,80-84 years,10,0,0,5,6
,85-89 years,4,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,4,0,0,0,0
,100 years and over,0,0,0,0,0
20903,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,1218,14,86,18,189
,20-24 years,2359,4,38,40,294
,25-29 years,1853,9,23,41,300
,30-34 years,1645,12,18,101,279
,35-39 years,2052,18,25,198,343
,40-44 years,2960,28,37,277,448
,45-49 years,3499,16,32,286,426
,50-54 years,3233,13,48,290,370
,55-59 years,2961,7,48,294,313
,60-64 years,1855,13,28,227,174
,65-69 years,726,0,24,184,85
,70-74 years,217,0,11,79,15
,75-79 years,65,0,0,27,3
,80-84 years,18,0,0,10,0
,85-89 years,4,0,0,0,0
,90-94 years,3,0,0,0,0
,95-99 years,3,0,0,0,0
,100 years and over,0,0,0,0,0
20904,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,2604,11,111,18,472
,20-24 years,6621,9,89,52,1317
,25-29 years,8921,22,101,170,1619
,30-34 years,10085,24,82,400,1871
,35-39 years,9126,24,68,417,1440
,40-44 years,8664,23,58,391,1025
,45-49 years,8427,24,61,317,829
,50-54 years,7238,22,60,273,666
,55-59 years,5770,19,51,233,489
,60-64 years,3571,10,48,185,318
,65-69 years,1181,0,24,86,85
,70-74 years,255,0,6,54,19
,75-79 years,69,0,4,17,4
,80-84 years,23,0,4,13,0
,85-89 years,3,0,0,0,0
,90-94 years,4,0,0,0,0
,95-99 years,9,0,0,0,0
,100 years and over,0,0,0,0,0
21001,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,628,5,56,5,150
,20-24 years,1614,14,44,12,393
,25-29 years,1955,10,17,29,404
,30-34 years,1932,18,21,79,426
,35-39 years,2170,22,19,135,378
,40-44 years,2507,30,29,165,356
,45-49 years,2710,28,25,116,338
,50-54 years,2334,19,25,88,277
,55-59 years,1919,14,25,73,242
,60-64 years,1218,8,20,96,135
,65-69 years,555,0,10,43,54
,70-74 years,202,0,4,33,12
,75-79 years,54,0,0,10,7
,80-84 years,16,0,0,4,0
,85-89 years,0,0,0,0,0
,90-94 years,0,0,0,0,0
,95-99 years,0,0,0,0,0
,100 years and over,0,0,0,0,0
21002,0-4 years,0,0,0,0,0
,5-9 years,0,0,0,0,0
,10-14 years,0,0,0,0,0
,15-19 years,451,3,43,11,44
,20-24 years,828,0,15,17,75
,25-29 years,705,3,8,23,72
,30-34 years,806,0,19,69,104
,35-39 years,1017,0,15,97,101
,40-44 years,1314,0,19,127,152
,45-49 years,1473,0,27,144,142
,50-54 years,1330,5,24,132,135
,55-59 years,1130,0,25,121,96
,60-64 years,694,0,18,85,53
,65-69 years,328,0,12,83,26
